,YEAR,CAMPUS,CNAME,MEETS,COURSE
3828,22,220901103,CROW LEADERSHIP,20.0,STAAR - 3rd Math
3841,22,220901125,DUNN EL,23.0,STAAR - 3rd Math
3876,22,220901165,MCNUTT EL,24.0,STAAR - 3rd Math
3906,22,220905105,WEST HANDLEY EL,7.0,STAAR - 3rd Math
3911,22,220905115,GEORGE CLARKE E,33.0,STAAR - 3rd Math
3921,22,220905125,EASTERN HILLS E,22.0,STAAR - 3rd Math
3923,22,220905127,CHRISTENE C MOS,34.0,STAAR - 3rd Math
3924,22,220905129,JOHN T WHITE EL,31.0,STAAR - 3rd Math
3928,22,220905134,GREENBRIAR EL,15.0,STAAR - 3rd Math
3940,22,220905150,OAKHURST EL,43.0,STAAR - 3rd Math
3943,22,220905153,A M PATE EL,8.0,STAAR - 3rd Math
3944,22,220905154,M L PHILLIPS EL,10.0,STAAR - 3rd Math
3966,22,220905187,J T STEVENS EL,22.0,STAAR - 3rd Math
3972,22,220905208,T A SIMS EL,35.0,STAAR - 3rd Math
3977,22,220905222,CLIFFORD DAVIS,8.0,STAAR - 3rd Math
3995,22,220907102,FLORENCE EL,79.0,STAAR - 3rd Math
4046,22,220912103,DEER CREEK EL,38.0,STAAR - 3rd Math
4056,22,220912113,DAVID L WALKER,52.0,STAAR - 3rd Math
4059,22,220914102,JAMES F DELANEY,48.0,STAAR - 3rd Math
4091,22,220918101,L A GILILLAND E,46.0,STAAR - 3rd Math
4108,22,220919101,JACK D JOHNSON,81.0,STAAR - 3rd Math
4241,22,227820301,KIPP DESTINY EL,7.0,STAAR - 3rd Math
4242,22,227820302,KIPP TRUTH EL,6.0,STAAR - 3rd Math
4243,22,227820303,KIPP PLEASANT G,10.0,STAAR - 3rd Math
953,22,57803003,UPLIFT EDUCATIO,38.0,STAAR - 4th Reading
954,22,57803008,UPLIFT MIGHTY S,30.0,STAAR - 4th Reading
955,22,57803017,UPLIFT ASCEND,40.0,STAAR - 4th Reading
956,22,57803018,UPLIFT ELEVATE,44.0,STAAR - 4th Reading
958,22,57803102,UPLIFT EDUCATIO,42.0,STAAR - 4th Reading
959,22,57803103,UPLIFT GRADUS P,43.0,STAAR - 4th Reading
960,22,57803104,UPLIFT HEIGHTS,45.0,STAAR - 4th Reading
961,22,57803105,UPLIFT PINNACLE,23.0,STAAR - 4th Reading
962,22,57803106,UPLIFT TRIUMPH,42.0,STAAR - 4th Reading
963,22,57803107,UPLIFT LUNA PRE,37.0,STAAR - 4th Reading
964,22,57803108,UPLIFT MERIDIAN,40.0,STAAR - 4th Reading
965,22,57803109,UPLIFT SUMMIT I,51.0,STAAR - 4th Reading
966,22,57803110,UPLIFT ATLAS PR,26.0,STAAR - 4th Reading
967,22,57803111,UPLIFT HAMPTON,34.0,STAAR - 4th Reading
968,22,57803112,UPLIFT WILLIAMS,24.0,STAAR - 4th Reading
969,22,57803114,UPLIFT WHITE RO,51.0,STAAR - 4th Reading
973,22,57807001,LIFE SCHOOL OAK,26.0,STAAR - 4th Reading
977,22,57807105,LIFE SCHOOL MOU,17.0,STAAR - 4th Reading
1064,22,57905101,JOHN Q ADAMS EL,28.0,STAAR - 4th Reading
1068,22,57905107,JOSE 'JOE' MAY,22.0,STAAR - 4th Reading
